sw2_path,sw3_url,match_type,confidence,sw3_title,needs_review
/Catalogue/Agriculture/Agricultural-Survey/Intra-Survey-Comparisons/new-grass-on-a-farm,https://stats.gov.wales/en-GB/topic/23/environment-energy-agriculture,category_fallback,0.0,,False
/Catalogue/Agriculture/Agricultural-Survey/Intra-Survey-Comparisons/other-cattle-on-a-farm,https://stats.gov.wales/en-GB/topic/23/environment-energy-agriculture,category_fallback,0.0,,False
/Catalogue/Agriculture/Agricultural-Survey/Intra-Survey-Comparisons/other-crops-on-a-farm,https://stats.gov.wales/en-GB/topic/23/environment-energy-agriculture,category_fallback,0.0,,False
/Catalogue/Agriculture/Agricultural-Survey/Intra-Survey-Comparisons/permanent-pasture-on-a-farm,https://stats.gov.wales/en-GB/topic/23/environment-energy-agriculture,category_fallback,0.0,,False
/Catalogue/Agriculture/Agricultural-Survey/Intra-Survey-Comparisons/robust-farm-type,https://stats.gov.wales/en-GB/topic/23/environment-energy-agriculture,category_fallback,0.0,,False
/Catalogue/Agriculture/Agricultural-Survey/Intra-Survey-Comparisons/sheep-on-a-farm,https://stats.gov.wales/en-GB/topic/23/environment-energy-agriculture,category_fallback,0.0,,False
/Catalogue/Agriculture/Agricultural-Survey/Intra-Survey-Comparisons/sole-rights-rough-grazing-on-a-farm,https://stats.gov.wales/en-GB/topic/23/environment-energy-agriculture,category_fallback,0.0,,False
/Catalogue/Agriculture/Agricultural-Survey/Intra-Survey-Comparisons/stockfeed-crops-on-a-farm,https://stats.gov.wales/en-GB/topic/23/environment-energy-agriculture,category_fallback,0.0,,False
/Catalogue/Agriculture/Agricultural-Survey/Intra-Survey-Comparisons/welsh-regions,https://stats.gov.wales/en-GB/topic/23/environment-energy-agriculture,category_fallback,0.0,,False
/Catalogue/Agriculture/Agricultural-Survey/Intra-Survey-Comparisons/woods-and-other-land-on-a-farm,https://stats.gov.wales/en-GB/topic/23/environment-energy-agriculture,category_fallback,0.0,,False
/Catalogue/Agriculture/Farm-Business-Survey,https://stats.gov.wales/en-GB/topic/23/environment-energy-agriculture,category,1.0,,False
